project_number,project_link,hpa_number,location,property,description,review_type,submitted_documents,meeting_link,recommendation,previous_review,owner,district_of_columbia,superseded_by,cfa_action,og_19-047,
OG 22-144,/records-research/project-search/og-22-144-0,HPA 22-261,"1529 34th Street, NW
United States",Residence,Replace existing one-story hyphen with two-story hyphen,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43339,"Returned without action.  Concept application for inappropriate demolition and new addition has been inactive for an extended period of time.  Proposed scope of work must be reviewed by the Old Georgetown Board; file new permit submission at DCRA with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 22-168,/records-research/project-search/og-22-168-0,HPA 22-299,"3210 Reservoir Road, NW
United States",Residence,Solar panel installation,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43339,"Returned without action.  Permit application for solar panels, which would require an inappropriate installation, was withdrawn at the written request of the applicant on 11 August 2022.
",,,,,,,
OG 22-215,/records-research/project-search/og-22-215,HPA 22-388,"1300 Wisconsin Avenue, NW
United States",Commercial,Signage for Pressed,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43339,"Returned without action.  Application withdrawn at the written request of the applicant on 17 August 2022.
",,,,,,,
OG 22-229,/records-research/project-search/og-22-229,HPA 22-402,"3000 K Street, NW
United States",Commercial,Alterations to outdoor terrace at Farmers Fishers Bakers,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43339,"Returned without action.  The duplicate concept application was withdrawn at the written request of the applicant on 17 August 2022.
",,,,,,,
OG 22-248,/records-research/project-search/og-22-248,HPA 22-421,"3410 Volta Place, NW
United States",Residence,"Addition, demolition, alterations, and site work",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43339,"Returned without action.  The duplicate concept application was withdrawn at the written request of the applicant on 17 August 2022.
",,,,,,,
OG 22-257,/records-research/project-search/og-22-257,HPA 22-430,"1524 29th Street, NW
United States",Residence,Addition,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43339,"Returned without action. Concept application was withdrawn at the written request of the applicant.
",,,,,,,
OG 22-004,/records-research/project-search/og-22-004,HPA 22-014,"3524-3526 K Street, NW
United States",Residence,"Demolition of two existing residences; construction of new 4-story, 8-unit apartment building",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43338,"Returned without action. Concept application for new four-story building has been inactive for an extended period of time. File concept submission at DCRA with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 22-135,/records-research/project-search/og-22-135-0,HPA 22-252,"3072 Q Street, NW
United States",Residence,Install decorative metal security door,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43338,"Returned without action. Concept application for a decorative metal security door has been inactive for an extended period of time. File new concept submission at DCRA with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 22-137,/records-research/project-search/og-22-137,HPA 22-254,"3600 - 3699 Block of Prospect Street, NW
United States",Public Right of Way,Small cell installation on existing utility pole,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43338,"Returned without action. Permit application for an antenna installation on the 3600 block of Prospect Street, NW has been inactive for an extended period of time. File new permit submission with detailed and dimensioned drawings at DCRA for review by the Commission.
",,,,,,,
OG 22-167,/records-research/project-search/og-22-167-0,HPA 22-298,"3202 Reservoir Road, NW
United States",Residence,"New dormers, fenestration and roof alterations",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43338,"Returned without action.  Concept application for new dormers, roof alterations, and fenestration redesign was withdrawn by the applicant on 16 June 2022.
",,,,,,,
OG 22-213,/records-research/project-search/og-22-213,HPA 22-362,"2915 - 2917 Dumbarton Street, NW
United States",Residence,Combine two lots and alterations to rear elevations,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43338,"Returned without action. The one-story rear addition and rear balconies proposed for demolition and the construction of a new rear balcony and stair are not visible from public way, per materials received 17 June 2022. Refer to Historic Preservation Review  Board.
",,,,,,,
OG 22-103,/records-research/project-search/og-22-103-0,HPA 22-196,"2523 P Street, NW
United States",Residence,"Wrap metal stairs with brick, replace railings",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43337,"Returned without action.  Concept application was withdrawn at the written request of the applicant.
",,,,,,,
OG 22-152,/records-research/project-search/og-22-152,HPA 22-269,"1023 31st Street, NW
United States",Commercial,"Add penthouse and reskin, construct five-story addition",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43337,"Returned without action.  Concept application superseded by OG 22-186, HPA 22-317.
",,,,,,,
OG 22-175,/records-research/project-search/og-22-175,HPA 22-306,"1344 30th Street, NW
United States",Residence,"Alterations to courtyard elevations, pool, detached structures, and landscape",Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43337,"Returned without action. The proposed alterations to the courtyard are not visible from public way, per materials received 13 May 2022. Refer to Historic Preservation Review Board.
",,,,,,,
OG 17-361,/records-research/project-search/og-17-361,HPA 17-633,"1051 - 1055 29th Street, NW
United States",West Heating Plant,Demolition,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43336,"Returned without action.  Permit application superseded by OG 22-154, HPA 22-271.
",,,,,,,
OG 22-109,/records-research/project-search/og-22-109,HPA 22-202,"3204 O Street, NW
United States",Commercial,Signage for Insomnia Cookies,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43336,"Returned without action.  Permit application for signage for Insomnia Cookies was withdrawn at the written request of the applicant.  File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 22-111,/records-research/project-search/og-22-111-0,HPA 22-204,"2900 - 2922 M Street, NW
United States",Commercial,Temporary art installation,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43336,"Returned without action.  Permit application for temporary art installation withdrawn at the written request of the applicant.
",,,,,,,
OG 22-136,/records-research/project-search/og-22-136,HPA 22-253,"2804 Dumbarton Street, NW
United States",Residence,Replace windows and doors,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43336,"Returned without action. Materials submitted for window and door replacement are insufficient for review. File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 22-146,/records-research/project-search/og-22-146,HPA 22-263,"2523 P Street, NW
United States",Residence,"Repointing, repainting, rust removal on stair",Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43336,"Returned without action. Masonry repointing and painting, per materials received 15 April 2022, are minor repairs. Refer to Historic Preservation Review Board.
",,,,,,,
OG 22-036,/records-research/project-search/og-22-036,HPA 22-064,"3000 & 3050 K Street, NW
United States",Commercial,Flood mitigation wall,Concept,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43335,"Returned without action.  Concept application for flood mitigation wall has been inactive for an extended period of time.  File new submission at DCRA with detailed and dimensioned drawings for review by the Commission.
",,,,,,,
OG 22-052,/records-research/project-search/og-22-052,HPA 22-105,"1680 Wisconsin Avenue, NW
United States",Commercial,Antenna replacement,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43335,"Returned without action. Permit application for rooftop antennas was withdrawn by the applicant on 30 March 2022. File new permit submission at DCRA with detailed and dimensioned drawings for review by the Commision.
",,,,,,,
OG 22-085,/records-research/project-search/og-22-085,HPA 22-156,"1317 33rd Street, NW
United States",Residence,Window replacement on rear and side,Permit,,/records-research/record-cfa-actions/old-georgetown-board/other-submissions/43335,"Permit application returned without action. Permit application for replacement windows on the side and rear was withdrawn at the written request of the applicant on 3 March 2022. The proposed composite windows are not appropriate for the historic district.   Note:  Any subsequent modifications to the approved design, including those made during DCRA technical review, must be resubmitted to the Commission for approval prior to the issuance of a permit.
",,,,,,,
